order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,category,sub_category,product_name,sales,quantity,discount,profit
ORD-1000,2022-03-11,2022-03-21,Second Class,CU-5161,Customer 42,Home Office,South,Georgia,Office Supplies,Paper,Paper Product 45,1075.08,2,0.0,203.73
ORD-1001,2019-12-20,2019-12-29,First Class,CU-4197,Customer 370,Home Office,Central,Ohio,Furniture,Tables,Tables Product 67,9265.63,10,0.0,508.96
ORD-1002,2021-02-28,2021-03-03,Same Day,CU-7528,Customer 25,Consumer,West,Washington,Office Supplies,Paper,Paper Product 19,1309.0,9,0.0,198.07
ORD-1003,2021-09-17,2021-09-27,Standard Class,CU-7311,Customer 158,Consumer,Central,Illinois,Technology,Accessories,Accessories Product 94,3012.36,4,0.0,386.92
ORD-1004,2022-02-20,2022-02-25,Same Day,CU-3278,Customer 818,Home Office,South,Georgia,Technology,Accessories,Accessories Product 23,2731.23,5,0.0,709.41
ORD-1005,2020-07-20,2020-07-26,Standard Class,CU-9189,Customer 739,Home Office,East,Pennsylvania,Office Supplies,Binders,Binders Product 91,4953.04,5,0.0,836.2
ORD-1006,2021-11-09,2021-11-12,Standard Class,CU-6927,Customer 523,Consumer,West,California,Office Supplies,Binders,Binders Product 65,161.23,1,0.0,24.17
ORD-1007,2019-01-01,2019-01-11,Same Day,CU-3738,Customer 973,Home Office,South,North Carolina,Technology,Computers,Computers Product 88,1938.51,3,0.0,243.78
ORD-1008,2020-11-19,2020-11-27,First Class,CU-1658,Customer 131,Home Office,West,California,Technology,Accessories,Accessories Product 92,1202.32,3,0.0,88.24
ORD-1009,2021-06-20,2021-06-21,Second Class,CU-5117,Customer 47,Home Office,South,Florida,Technology,Computers,Computers Product 24,4967.51,10,0.0,705.95
ORD-1010,2019-08-27,2019-09-02,Standard Class,CU-3400,Customer 351,Consumer,South,Florida,Office Supplies,Storage,Storage Product 34,59.15,1,0.0,6.57
ORD-1011,2022-10-01,2022-10-10,First Class,CU-4473,Customer 284,Consumer,West,California,Office Supplies,Storage,Storage Product 96,1546.42,2,0.0,286.93
ORD-1012,2021-06-25,2021-07-08,First Class,CU-2157,Customer 86,Home Office,Central,Illinois,Furniture,Tables,Tables Product 52,5982.42,9,0.0,264.17
ORD-1013,2021-02-21,2021-02-28,Same Day,CU-4657,Customer 683,Corporate,West,Washington,Office Supplies,Storage,Storage Product 91,3773.0,7,0.2,324.36
ORD-1014,2021-10-28,2021-11-08,Same Day,CU-5963,Customer 519,Home Office,West,Oregon,Office Supplies,Paper,Paper Product 41,3106.58,8,0.0,461.05
ORD-1015,2020-12-04,2020-12-17,Second Class,CU-5805,Customer 338,Corporate,West,Washington,Furniture,Chairs,Chairs Product 23,4713.23,8,0.25,560.02
