date,symbol,open,high,low,close,volume
2020-01-01,AAPL,453.31,464.79,451.66,456.22,33335151
2020-01-02,AAPL,449.22,452.34,443.46,450.87,18852110
2020-01-03,AAPL,462.21,462.56,451.64,459.14,2285651
2020-01-06,AAPL,475.14,481.87,467.84,468.79,7444385
2020-01-07,AAPL,468.88,468.94,464.1,466.54,44543554
2020-01-08,AAPL,474.98,487.74,472.73,474.37,19279245
2020-01-09,AAPL,483.74,487.15,483.68,484.86,40228577
2020-01-10,AAPL,493.53,503.71,489.35,493.16,32314636
2020-01-13,AAPL,488.62,492.85,484.84,488.53,20390455
2020-01-14,AAPL,491.14,491.41,485.65,487.96,5813209
2020-01-15,AAPL,477.39,477.46,469.36,476.91,2983918
2020-01-16,AAPL,480.91,486.63,474.71,479.16,34831248
2020-01-17,AAPL,466.2,475.18,465.42,471.04,33666135
2020-01-20,AAPL,468.65,472.56,462.43,471.34,28169782
2020-01-21,AAPL,470.83,473.94,467.13,470.67,49963380
2020-01-22,AAPL,478.68,482.65,474.33,477.98,7948244
2020-01-23,AAPL,487.77,490.85,484.43,485.28,35679042
2020-01-24,AAPL,474.22,480.96,466.75,475.79,9909288
2020-01-27,AAPL,475.9,482.75,473.92,479.4,21544448
2020-01-28,AAPL,482.7,485.94,477.27,480.93,10175953
2020-01-29,AAPL,470.21,476.25,456.62,467.76,26062980
2020-01-30,AAPL,485.84,489.34,479.91,481.85,38508456
2020-01-31,AAPL,487.37,488.35,482.23,488.05,27869237
2020-02-03,AAPL,484.58,486.08,480.94,484.41,44454691
2020-02-04,AAPL,476.9,477.67,472.2,477.49,18960474
2020-02-05,AAPL,491.26,494.61,486.28,487.43,42156286
2020-02-06,AAPL,490.32,499.96,479.18,488.68,17128231
2020-02-07,AAPL,483.63,487.41,474.72,484.4,3802914
2020-02-10,AAPL,472.08,474.17,469.62,472.48,38504058
2020-02-11,AAPL,478.31,484.98,469.04,482.56,7240596
2020-02-12,AAPL,495.88,503.42,488.51,494.14,21440042
2020-02-13,AAPL,486.26,486.72,482.43,485.66,44902850
2020-02-14,AAPL,476.19,477.2,469.11,475.37,42336281
